batch_id,corp_code,stock_code,corp_name,signal_name,required_account,found,matched_account_nm,matched_account_id,years_found,sj_divs,fs_divs,status,recommended_action
kospi_002,00400857,078520,(주)에이블씨엔씨,재무 구조 개선,자본총계,true,"기말자본, 자본총계",ifrs-full_Equity,"2021, 2022, 2023, 2024, 2025","BS, SCE",CFS,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kospi_002,00400857,078520,(주)에이블씨엔씨,현금 창출력 강화,영업활동현금흐름,true,"영업활동으로 인한 현금흐름, 영업활동현금흐름",ifrs-full_CashFlowsFromUsedInOperatingActivities,"2021, 2022, 2023, 2024, 2025",CF,CFS,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kospi_002,00400857,078520,(주)에이블씨엔씨,이자 부담 해소,단기차입금,true,단기차입금,ifrs-full_ShorttermBorrowings,"2021, 2022, 2023, 2024, 2025",BS,CFS,found_in_single_all,"단기차입금, 장기차입금, 사채를 합산해 차입금의존도 계산 구성요소로 사용합니다."
kospi_002,00400857,078520,(주)에이블씨엔씨,이자 부담 해소,장기차입금,true,장기차입금,dart_LongTermBorrowingsGross,"2021, 2022, 2023, 2024, 2025",BS,CFS,found_in_single_all,"단기차입금, 장기차입금, 사채를 합산해 차입금의존도 계산 구성요소로 사용합니다."
kospi_002,00400857,078520,(주)에이블씨엔씨,이자 부담 해소,사채,false,,,,,,not_found_in_single_all,"단기차입금, 장기차입금, 사채를 합산해 차입금의존도 계산 구성요소로 사용합니다."
kospi_002,00400857,078520,(주)에이블씨엔씨,이자 부담 해소,자산총계,true,자산총계,ifrs-full_Assets,"2021, 2022, 2023, 2024, 2025",BS,CFS,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kospi_002,00500254,078930,(주)GS,부채 과다,부채총계,true,부채총계,ifrs-full_Liabilities,"2021, 2022, 2023, 2024, 2025",BS,CFS,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kospi_002,00500254,078930,(주)GS,부채 과다,자본총계,true,"기말자본, 자본총계",ifrs-full_Equity,"2021, 2022, 2023, 2024, 2025","BS, SCE",CFS,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kospi_002,00500254,078930,(주)GS,실적 급락,매출액,true,수익(매출액),ifrs-full_Revenue,"2021, 2022, 2023, 2024, 2025",IS,CFS,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
kospi_002,00500254,078930,(주)GS,실적 급락,영업이익,true,영업이익(손실),dart_OperatingIncomeLoss,"2021, 2022, 2023, 2024, 2025",IS,CFS,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
